IMMAGINE,AUTORE,TITOLO,TECNICA
"<img src=""Opera1.jpg"">",PITTORE IRLANDESE,"BOOK OF KELLS, CAPOLETTERA",TEMPERA SU PERGAMENA
"<img src=""Opera2.jpg"">",PITTORE DI REIMS,SALTERIO DI UTRECHT,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera3.jpg"">",PITTORE AUSTRIACO,IL VENERABILE BEDA,PENNA E INCHIOSTRO BLU E ROSSO E ACQUERELLO SU PERGAMENA
"<img src=""Opera4.jpg"">",TADDEO GADDI,LA PRESENTAZIONE DELLA VERGINE AL TEMPIO,"PENNELLO, ACQUERELLO, LUMEGGIATURE BIANCHE E ORO SU CARTA PREPARATA VERDE"
"<img src=""Opera5.jpg"">",SEGUACE DI SIMONE MARTINI,ALLEGORIA DELLA TEMPERANZA,PUNTA D'ARGENTO SU C.P. IN ROSSO
"<img src=""Opera6.jpg"">",MAESTRO DEL PARAMENTO DI NARBONNE,ARCIERE,PENNELLO E INCHIOSTRO NERO SU PERGAMENA
"<img src=""Opera7.jpg"">",L'EDUCAZIONE DI MARIA,PITTORE TEDESCO,PENNA E INCHIOSTRO NERO
"<img src=""Opera8.jpg"">",PITTORE LOMBARDO,SCENA DI CACCIA,"PENNA, PENNELLO E INCHIOSTRO RIALZATO DI BIANCO SU CARTA PREPARATA VERDE"
"<img src=""Opera9.jpg"">",GENTILE DA FABRIANO,NUDI FEMMNILI E ALTRE FIGURE,PENNA SU PERGAMENA
"<img src=""Opera10.jpg"">",GIOVANNINO DE GRASSI,DUE DAME CON CETRA,INCHIOSTRO E ACQUERELLO SU PERGAMENA
"<img src=""Opera11.jpg"">",PISANELLO,STDI DI NUDO E UN'ANNUNCIAZIONE,PENNA E INCHIOSTRO
"<img src=""Opera12.jpg"">",PISANELLO,STUDI DI COSTUME,PENNA INCHIOSTRO E ACQUERELLO
"<img src=""Opera13.jpg"">",DONATELLO,GIOVANE CORONATO D'ALLORO,"PENNA E INCHIOSTRO BRUNO, ACQUERELLO GRIGIO"
"<img src=""Opera14.jpg"">",PAOLO UCCELLLO,PROFILO CON TURBANTE,BISTRO E ACQUERELLO SU CARTA TINTA
"<img src=""Opera15.jpg"">",BENOZZO GOZZOLI,TESTA DI SAN LORENZO,PUNTA D'ARGENTO RIALZATA DI BIACCA SU C.P. ARANCIONE
"<img src=""Opera16.jpg"">",ANTONIO POLLAIOLO,CAVALIERE E NEMICO CADUTO,PENNA E BISTRO SU CARTA TINTA
"<img src=""Opera17.jpg"">",BOTTICELLI,ABBONDANZA E AUTUNNO,"PENNA E INCHIOSTRO, ACQUERELLO BRUNO, RIALZATO DI BIANCO SU TRACCIA DI CARBONCINO, C.P. ROSA"
"<img src=""Opera18.jpg"">",VERROCCHIO,TESTA DI DONNA,PUNTA METALLICA RIALZATA DI BIANCO
"<img src=""Opera19.jpg"">",FILIPPINO LIPPI,TESTA DI VECCHIO,PUNTA METALLICA RIALZATA DI BIANCO SU C.P. ARDESIA
"<img src=""Opera20.jpg"">",LORENZO DI CREDI,TESTA DI DONNA,PUNTA D'ARGENTO E LUMEGGIATURE A BIACCA SU CARTA CREMA
"<img src=""Opera21.jpg"">",PERUGINO,STUDI DI UOMINI E UNA MADONNA,PUNTA D'ARGENTO E LUMEGGIATURE A BIACCA 
"<img src=""Opera22.jpg"">",LUCA SIGNORELLI,ERCOLE E ANTEO,GESSETTO GRIGIO
"<img src=""Opera23.jpg"">",JACOPO BELLINI,FLAGELLAZIONE DI CRISTO,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera24.jpg"">",ANDREA MANTEGNA,MARTE VENERE E DIANA,"PENNA, INCHIOSTRO E ACQUERELLO BRUNO CON TOCCHI DI BIANCO E DI COLORE"
"<img src=""Opera25.jpg"">",ERCOLE DE ROBERTI,STUDI PER UNA CROCIFISSIONE,PENNA E PENNELLO BRUNO RIALZATO DI BIANCO SU CARTA GRIGIA
"<img src=""Opera26.jpg"">",MARCO ZOPPO,SEI STUDI DI MADONNA COL BAMBINO,"PENNA, INCHIOSTRO BRUNO E ACQUERELLO SU CARTA COLORATA ROSA"
"<img src=""Opera27.jpg"">",GIOVANNI BELLINI,RITRATTO DI GENTILE BELLINI,MATITA NERA
"<img src=""Opera28.jpg"">",GIOVANNI BELLINI,PIETÀ,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera29.jpg"">",GENTILE BELLINI,PROCESSIONE IN CAMPO SAN LIO,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera30.jpg"">",VITTORE CARPACCIO,SOGNO DI SANT'ORSOLA,PENNA E PENNELLO CON INCHIOSTRO BRUNO SU CARTA GIALLINA
"<img src=""Opera31.jpg"">",VITTORE CARPACCIO,TESTA DI GIOVANE,"GESSETTO NERO, PENNELLO E INCHIOSTRO BRUNO RIALZATO A BIACCA SU CARTA AZZURRA"
"<img src=""Opera32.jpg"">",JAN VAN EYCK,IL CARDINALE NICOLA ALBERGATI,PUNTA D'ARGENTO
"<img src=""Opera33.jpg"">",ANTONELLO DA MESSINA,RITRATTO DI GIOVANE,CARBONCINO SFUMATO SU CARTA BRUNA
"<img src=""Opera34.jpg"">",JEAN FOUQET,RITRATTO DI ECCLESIASTICO,PUNTA D'ARGENTO
"<img src=""Opera35.jpg"">",ROGIER VAN DER WEYDEN,MADONNA COL BAMBINO,PUNTA D'ARGENTO
"<img src=""Opera36.jpg"">",KONRAD WITZ,MADONNA CON BAMBINO,"PENNA E TINTEGGIATURA IN INCHIOSTRO DI CHINA, ACQUERELLO"
"<img src=""Opera37.jpg"">",BOSCH,ALBERO FANTASTICO IN FORMA D'UOMO,PENNA E BISTRO
"<img src=""Opera38.jpg"">",DONATO BRAMANTE,SAN CRISTOFORO,PUNTA D'ARGENTO RIALZATA A BIACCA SU CARTA AZZURRA
"<img src=""Opera39.jpg"">",LEONARDO DA VINCI,SCENE DI BATTAGLIA CON CAVALIERI,"PENNA, INCHIOSTRO MARRONE"
"<img src=""Opera40.jpg"">",LEONARDO DA VINCI,"BUSTO DI PROFILO, SCHEMA DELLE MISURE DELLA TESTA UMANA, STUDIO DI CAVALLO E CAVALIERI","PENNA, MATITA NERA, SANGUIGNA E INCHIOSTRO MARRONE"
"<img src=""Opera41.jpg"">",LEONARDO DA VINCI,STUDIO DI PANNEGGIO,"PUNTA METALLICA, CARBONCINO, BISTRO E BIACCA"
"<img src=""Opera42.jpg"">",LEONARDO DA VINCI,AUTORITRATTO,SANGUIGNA
"<img src=""Opera43.jpg"">",MICHELANGELO,TESTA DI PROFILO,SANGUIGNA
"<img src=""Opera44.jpg"">",MICHELANGELO,CROCIFISSIONE,GESSETTO NERO E BIACCA
"<img src=""Opera45.jpg"">",RAFFAELLO,SANTA CATERINA D'ALESSANDRIA,CARBONCINO RIALZATO IN BIANCO
"<img src=""Opera46.jpg"">",RAFFAELLO,TESTA D'ANGELO,CARBONCINO RIALZATO IN BIANCO
"<img src=""Opera47.jpg"">",RAFFAELLO,DONNA CHE LEGGE UN BAMBINO,"PUNTA METALLICA, RIALZATA DI BIANCO"
"<img src=""Opera48.jpg"">",ANDREA DEL SARTO,TESTA DI PROFILO,SANGUIGNA
